qid,cond,faithfulness,relevancy,correctness,citation_grounding,n_claims,latency_s,refused
2070,closed_book,0.0,0.8650975426038107,0.5,,10,9.05,False
4846,oracle,0.75,0.8479906916618347,0.5,1.0,4,7.71,False
4846,strong,,0.9813584685325623,0.0,1.0,0,7.12,True
4846,hydeN,1.0,0.8913771708806356,0.5,1.0,5,8.09,False
4846,adversarial,1.0,0.8577656745910645,0.5,,3,7.12,True
4846,closed_book,0.0,0.8449668685595194,0.5,,5,8.89,False
5134,oracle,1.0,0.8387219508488973,1.0,1.0,4,9.92,False
5134,strong,1.0,0.9082093040148417,0.5,1.0,5,8.9,False
5134,hydeN,1.0,0.9601168930530548,0.5,1.0,4,10.36,False
5134,adversarial,0.5,0.8967671990394592,0.5,1.0,2,8.89,False
5134,closed_book,0.0,0.8562375704447428,0.5,,6,10.16,False
2994,oracle,1.0,0.8460330565770467,0.5,1.0,6,8.39,False
2994,strong,1.0,0.7347627282142639,0.5,1.0,5,7.77,False
2994,hydeN,1.0,0.8459991017977396,0.5,1.0,5,16.29,False
2994,adversarial,0.6666666666666666,0.8003272414207458,0.5,1.0,3,40.74,False
2994,closed_book,0.0,0.7316886782646179,0.0,,4,8.58,False
8632,oracle,1.0,0.8646302024523417,0.5,1.0,4,6.98,False
8632,strong,1.0,0.861993670463562,1.0,1.0,3,7.79,False
8632,hydeN,0.8571428571428571,0.8694957494735718,0.5,1.0,7,7.94,False
8632,adversarial,0.75,0.890815794467926,0.5,1.0,4,10.25,False
8632,closed_book,0.0,0.8484568198521932,0.0,,6,10.23,False
6803,oracle,1.0,0.8864453037579855,1.0,1.0,4,8.44,False
6803,strong,1.0,0.9087032278378805,1.0,1.0,5,7.67,False
6803,hydeN,1.0,0.8786057829856873,1.0,1.0,6,7.78,False
6803,adversarial,,0.9210174083709717,0.0,1.0,0,12.79,True
6803,closed_book,0.0,0.8848864833513895,1.0,,6,7.13,False
4007,oracle,1.0,0.9085412621498108,0.5,1.0,7,7.63,False
4007,strong,1.0,0.8678615490595499,1.0,1.0,6,9.22,False
4007,hydeN,1.0,0.9216153224309286,1.0,1.0,5,7.66,False
4007,adversarial,,,0.0,1.0,0,9.34,True
4007,closed_book,0.0,0.8796292543411255,0.5,,8,10.13,False
10979,oracle,1.0,0.8261167208353678,1.0,1.0,4,8.72,False
10979,strong,1.0,0.8921367724736532,1.0,1.0,4,8.53,False
10979,hydeN,1.0,0.892780621846517,1.0,1.0,8,9.77,False
10979,adversarial,0.3333333333333333,0.919261654218038,0.0,1.0,3,7.78,True
10979,closed_book,0.0,0.8920423984527588,0.5,,6,8.62,False
7633,oracle,1.0,0.926983634630839,1.0,1.0,6,13.64,False
7633,strong,1.0,0.8910483916600546,1.0,1.0,7,9.26,False
7633,hydeN,1.0,0.8623846173286438,1.0,1.0,5,8.77,False
7633,adversarial,1.0,0.8655166427294413,0.5,1.0,4,11.83,True
7633,closed_book,0.0,0.8784873882929484,0.5,,4,8.42,False
4047,oracle,0.8,0.8781859874725342,0.5,1.0,5,8.89,False
4047,strong,1.0,0.9914577603340149,1.0,1.0,5,8.87,False
4047,hydeN,1.0,0.8652238448460897,0.5,1.0,5,8.68,False
4047,adversarial,0.75,0.8081781268119812,0.5,1.0,4,11.11,False
4047,closed_book,0.0,0.8935720324516296,0.5,,5,7.94,False
957,oracle,1.0,0.8898669282595316,1.0,1.0,6,13.07,False
957,strong,1.0,0.8637855251630148,0.5,1.0,6,8.27,False
957,hydeN,1.0,0.877033531665802,1.0,1.0,5,9.19,False
957,adversarial,,,0.0,1.0,0,7.85,True
957,closed_book,0.0,0.8768695990244547,0.0,,8,9.68,False
1871,oracle,1.0,0.9265762766202291,0.5,1.0,4,8.29,False
1871,strong,1.0,0.9504106044769287,0.5,1.0,9,8.43,False
1871,hydeN,1.0,0.9396181702613831,1.0,1.0,8,8.24,False
1871,adversarial,,1.0000001192092896,0.0,1.0,0,7.35,True
1871,closed_book,0.0,0.9365280469258627,0.5,,5,8.58,False
2445,oracle,1.0,0.9026798804601034,1.0,1.0,6,6.66,False
2445,strong,1.0,0.9244957566261292,0.5,1.0,6,8.08,False
2445,hydeN,1.0,0.8748265504837036,1.0,1.0,6,7.73,False
2445,adversarial,,1.0,0.0,1.0,0,8.53,True
2445,closed_book,0.0,0.8534194429715475,0.5,,5,9.13,False
106,oracle,1.0,1.0000001192092896,0.5,1.0,7,7.27,False
106,strong,1.0,0.878947913646698,1.0,1.0,7,9.22,False
106,hydeN,1.0,0.8752419153849283,0.5,1.0,8,8.3,False
106,adversarial,1.0,0.8770405650138855,0.5,1.0,5,10.94,False
106,closed_book,0.0,0.8224405447642008,0.5,,10,10.15,False
5592,oracle,1.0,0.9097254276275635,0.5,1.0,3,7.52,False
5592,strong,1.0,0.9220317999521891,1.0,1.0,3,11.37,False
5592,hydeN,1.0,0.8682061831156412,1.0,1.0,3,8.14,False
5592,adversarial,,0.9099852840105692,0.0,1.0,0,7.18,True
5592,closed_book,0.0,0.900280773639679,0.5,,5,8.96,False
